0, 00111111100110010001000011010101
1, 00111111100111000011111001110000
2, 00111111100111100101001111001001
3, 00111111101000011110100010011100
4, 00111111101000001110010010111100
5, 00111111101001000110101101000111
6, 00111111101000110110101101100101
7, 00111111101000101110101011011110
8, 00111111101001001110101010011101
9, 00111111101000111110101110001000
10, 00111111101001011110100000110000
11, 00111111101001110110000110110101
12, 00111111101001000110101101000001
13, 00111111101001011110100000110000
14, 00111111101010000101101110011000
15, 00111111101001101110010001000001
16, 00111111101001010110100110010111
17, 00111111101001110110000110111100
18, 00111111101001000110101101000111
19, 00111111101000111110101110001000
20, 00111111101001010110100110010111
21, 00111111101001010110100110010111
22, 00111111101010001101011111110101
23, 00111111101010010101001111111101
24, 00111111101010100100101011111111
25, 00111111101010010101001111111101
26, 00111111101010110100000010010101
27, 00111111101001101110010001000001
28, 00111111101001110110000110110101
29, 00111111101010011100111110101011
30, 00111111101010100100101011111001
31, 00111111101011010010011110111010
32, 00111111101011010010011110111010
33, 00111111101011010010011110111010
34, 00111111101100000110111110010001
35, 00111111101011111000000100111011
36, 00111111101100010101110010101100
37, 00111111101011101001000110011010
38, 00111111101011100001100101001110
39, 00111111101011011010000010101110
40, 00111111101100011101001011000100
41, 00111111101100000110111110010001
42, 00111111101100000110111110010001
43, 00111111101011111111100010001011
44, 00111111101011001010111001110010
45, 00111111101011111000000100110101
46, 00111111101011111000000100110101
