0, 0XXXXXXX1X0XX01XXXXXXXXXX1XX0X0X
1, 0XXXXXXX1X0XX01XXXXXX0XXX1X0X00X
2, 0XXXXXXX1X0XX0XX111XXXXX1X0XXXXX
3, 0XXXXXXX1X0XXXXXXXXX0XXXXX0X0XXX
4, 0XXXXXXX1X0XXXXXXXXX0XXXXX0X0XXX
5, 0XXXXXXX1X0XXXXXXXXXXXXXXX01XXXX
6, 0XXXXXXX1XXXXXXXXX0X0XXXX00XXXXX
7, 0XXXXXXX1XXXXXX0XX0XXXXXXXXXX0X0
8, 0XXXXXXX1XXXXXXXX00X0XXX00XXXXXX
9, 0XXXXXXX1XXXXXXXX00XXXXXX0X1XXXX
10, 0XXXXXXX1X0XXXXX1X0XXX0XXXXXXXXX
11, 0XXXXXXX1X0XXXX0XXXX0XXXXX0X00XX
12, 0XXXXXXX1XXXXX0XXXXX0XXXX0XX00XX
13, 0XXXXXXX1XXXXXX0XXXXXXXXXX0X00XX
14, 0XXXXXXX1XXXXXXX00XXXX0XXXXX0XX0
15, 0XXXXXXX1XXXXXXXX0XXXX0XXXXXXXXX
16, 0XXXXXXX1XXXXXXX00XXXX0XXXXX0XX0
17, 0XXXXXXX1XXXXXXX0XXX00XXXXXXXX00
18, 0XXXXXXX1XXXXX0XX0X0X0XXXXX00XX0
19, 0XXXXXXX1XXXX10XXXX0X0X0X0XX0XX0
20, 0XXXXXXX1XXXX1XX0XXX0XX0XXXXXX00
21, 0XXXXXXX1XXXX10XXXX0XXX0XXXXXX00
22, 0XXXXXXX1XXXXXXXX00X0X0XXXX0XX00
23, 0XXXXXXX1XXXX1XXX00XXXX0XXX0XX00
24, 0XXXXXXX1XXXXXXXX0XX0XXXXXXXXX00
25, 0XXXXXXX1XXXXXXXX0XX0XXXXXXXXX00
26, 0XXXXXXX1XXXXX0XXXX0XXXXXX00XX00
27, 0XXXXXXX1XXXXX0XXXXX0X0XXXX0XX00
28, 0XXXXXXX1XXXXX0XX0XX0XXXXXXXXX00
29, 0XXXXXXX1XXXXX0XXXX00XXXXX0XXX00
30, 0XXXXXXX1XXXXX0XXXX00XXXXX0XXX00
31, 0XXXXXXX1XXXXX0XXXXXX0XXXX0XXX0X
32, 0XXXXXXX1XXXXX0XXXXXX0XXXX0XXX0X
33, 0XXXXXXX1XXXXX0XXXXXX0XXXX0XXX0X
34, 0XXXXXXX1XXXXXX0X0XX00XXXXXX0XX0
35, 0XXXXXXX1XXXXXX0X0XX00XXXXXX0XX0
36, 0XXXXXXX1XXXXXX0XXX00XXXXX0X0X0X
37, 0XXXXXXX1XXXXXX0X0XX00XXXXXX0XX0
38, 0XXXXXXX1XXXXXX0X0XX00XXXXXX0XX0
39, 0XXXXXXX1XXXXXX0X0XX00XXXXXX0XX0
40, 0XXXXXXX1XXXXXX0XXX00XXXXX0X0X0X
41, 0XXXXXXX1XXXXXX0XXX00XXXXX0X0X0X
42, 0XXXXXXX1XXXXXX0XXX00XXXXX0X0X0X
